antecedent,consequent,support,confidence,readable
"('flow_Link_32=(-579.601, -532.8]',)",class=1,2.4805514180792728e-05,0.7906863540483531,"flow_Link_32=(-579.601, -532.8] → class=1"
"('flow_Link_30=(-442.801, -284.4]',)",class=1,2.420993750130314e-05,0.7717020931364595,"flow_Link_30=(-442.801, -284.4] → class=1"
"('flow_Link_23=(2566.8, 3733.2]',)",class=1,2.3675445609453518e-05,0.7546649359078371,"flow_Link_23=(2566.8, 3733.2] → class=1"
"('flow_Link_29=(1432.8, 1483.2]',)",class=1,2.261664262369425e-05,0.7209151387311374,"flow_Link_29=(1432.8, 1483.2] → class=1"
"('flow_Link_13=(302.4, 529.2]',)",class=1,2.0789189393465524e-05,0.662664286873276,"flow_Link_13=(302.4, 529.2] → class=1"
"('flow_Link_2=(6988.8, 11120.4]',)",class=1,2.0611025429515647e-05,0.6569852344637352,"flow_Link_2=(6988.8, 11120.4] → class=1"
"('flow_Link_26=(-140.4, 104.4]',)",class=1,1.971511521079627e-05,0.6284277137757586,"flow_Link_26=(-140.4, 104.4] → class=1"
"('flow_Link_17=(-889.201, -547.2]',)",class=1,1.943005286847647e-05,0.6193412299204932,"flow_Link_17=(-889.201, -547.2] → class=1"
"('flow_Link_9=(1119.6, 3358.8]',)",class=1,1.6920486176268217e-05,0.5393477202661042,"flow_Link_9=(1119.6, 3358.8] → class=1"
"('flow_Link_11=(482.4, 2980.8]',)",class=1,1.4253117115990075e-05,0.45432419276326463,"flow_Link_11=(482.4, 2980.8] → class=1"
"('flow_Link_29=(79.199, 244.8]',)",class=0,2.3431106458893685e-05,0.5861454221316694,"flow_Link_29=(79.199, 244.8] → class=0"
"('flow_Link_23=(478.79900000000004, 1443.6]',)",class=0,2.3324208080523758e-05,0.5834712848592895,"flow_Link_23=(478.79900000000004, 1443.6] → class=0"
"('flow_Link_26=(-572.401, -273.6]',)",class=0,2.2815168183524115e-05,0.5707372978479562,"flow_Link_26=(-572.401, -273.6] → class=0"
"('flow_Link_30=(151.2, 262.8]',)",class=0,2.263191382060424e-05,0.5661530625238762,"flow_Link_30=(151.2, 262.8] → class=0"
"('flow_Link_32=(-532.8, -46.8]',)",class=0,2.0677200616125602e-05,0.5172545524003566,"flow_Link_32=(-532.8, -46.8] → class=0"
"('flow_Link_32=(-46.8, 3.6]',)",class=0,1.9297702495256565e-05,0.48274544759964344,"flow_Link_32=(-46.8, 3.6] → class=0"
"('flow_Link_13=(-226.80100000000002, 223.2]',)",class=0,1.8651221826067014e-05,0.46657328409525023,"flow_Link_13=(-226.80100000000002, 223.2] → class=0"
"('flow_Link_13=(223.2, 302.4]',)",class=0,1.8590137038427054e-05,0.46504520565389024,"flow_Link_13=(223.2, 302.4] → class=0"
"('flow_Link_17=(-547.2, -421.2]',)",class=0,1.846796746314714e-05,0.46198904877117025,"flow_Link_17=(-547.2, -421.2] → class=0"
"('flow_Link_2=(2041.199, 5367.6]',)",class=0,1.8411973074477176e-05,0.4605883101999236,"flow_Link_2=(2041.199, 5367.6] → class=0"
"('flow_Link_2=(5367.6, 6988.8]',)",class=0,1.8376340281687205e-05,0.4596969311091303,"flow_Link_2=(5367.6, 6988.8] → class=0"
"('flow_Link_9=(870.0, 1119.6]',)",class=0,1.7449887669147848e-05,0.43652107474850377,"flow_Link_9=(870.0, 1119.6] → class=0"
"('flow_Link_30=(-284.4, 151.2]',)",class=0,1.7342989290777923e-05,0.4338469374761238,"flow_Link_30=(-284.4, 151.2] → class=0"
"('flow_Link_17=(-421.2, -154.8]',)",class=0,1.6752503010258336e-05,0.4190755125429772,"flow_Link_17=(-421.2, -154.8] → class=0"
"('flow_Link_23=(1443.6, 2566.8]',)",class=0,1.6650695030858406e-05,0.41652871514071055,"flow_Link_23=(1443.6, 2566.8] → class=0"
"('flow_Link_29=(244.8, 1432.8]',)",class=0,1.654379665248848e-05,0.4138545778683306,"flow_Link_29=(244.8, 1432.8] → class=0"
"('flow_Link_11=(378.0, 482.4]',)",class=0,1.5800598402868996e-05,0.39526295683178403,"flow_Link_11=(378.0, 482.4] → class=0"
"('flow_Link_9=(331.199, 870.0]',)",class=0,1.5652976832739102e-05,0.3915701005984974,"flow_Link_9=(331.199, 870.0] → class=0"
"('flow_Link_11=(151.19899999999998, 378.0]',)",class=0,1.4767247411959717e-05,0.36941296319877753,"flow_Link_11=(151.19899999999998, 378.0] → class=0"
"('flow_Link_26=(-273.6, -140.4]',)",class=0,1.3357206897270698e-05,0.33413981917738445,"flow_Link_26=(-273.6, -140.4] → class=0"
